ID;User_ID;Table_rank_2024_05;Person;net_worth_inBillionUSD_2024_05;Age_of_person_2024_05;Date
224;172;224;Georg Schaeffler;10;59;2024-05-31
225;276;225;Zhang Congyuan;10;76;2024-05-31
226;224;226;Carrie Perrodo  ;10;73;2024-05-31
227;493;227;Elizabeth Johnson;10;61;2024-05-31
228;156;228;Gong Hongjia  ;9,9;59;2024-05-31
229;178;229;Liu Yongxing;9,9;75;2024-05-31
230;1342;230;Brian Armstrong;9,9;41;2024-05-31
231;241;231;John Morris;9,8;76;2024-05-31
232;151;232;Viatcheslav Kantor;9,8;70;2024-05-31
233;204;233;Antonia Axson Johnson  ;9,8;80;2024-05-31
234;203;234;Roman Abramovich;9,7;57;2024-05-31
235;299;235;James Goodnight;9,7;81;2024-05-31
236;272;236;Li Shuirong  ;9,7;67;2024-05-31
237;3015;237;Ernest Garcia II.;9,7;67;2024-05-31
238;186;238;Michael Kim;9,7;60;2024-05-31
239;422;239;Jay Chaudhry;9,7;64;2024-05-31
240;201;240;Brian Chesky;9,7;42;2024-05-31
241;568;241;Pankaj Patel;9,7;71;2024-05-31
242;206;242;John Malone;9,6;83;2024-05-31
243;344;243;Sandra Ortega Mera;9,6;55;2024-05-31
244;196;244;Victoria Mars;9,6;67;2024-05-31
245;193;244;Marijke Mars;9,6;59;2024-05-31
246;194;244;Pamela Mars;9,6;63;2024-05-31
247;195;244;Valerie Mars;9,6;65;2024-05-31
248;470;248;Ludwig Merckle;9,6;59;2024-05-31
249;238;249;Nicky Oppenheimer  ;9,5;78;2024-05-31
250;360;250;Christopher Hohn;9,5;57;2024-05-31
251;388;251;Simon Reuben;9,5;83;2024-05-31
252;387;251;David Reuben;9,5;85;2024-05-31
253;256;253;Nathan Blecharczyk;9,4;40;2024-05-31
254;255;254;Karel Komarek;9,4;55;2024-05-31
255;117;255;Xu Hang;9,4;62;2024-05-31
256;205;256;Daniel Kretinsky;9,3;48;2024-05-31
257;258;257;Bernard Marcus;9,3;95;2024-05-31
258;185;258;Andrei Guryev  ;9,3;64;2024-05-31
259;138;259;Sarath Ratanavadi;9,3;58;2024-05-31
260;331;260;Ralph Lauren;9,2;84;2024-05-31
261;260;261;Robert F. Smith;9,2;61;2024-05-31
262;304;262;Nassef Sawiris;9,2;63;2024-05-31
263;3152;263;Giancarlo Devasini;9,2;60;2024-05-31
264;243;264;Francine von Finck  ;9,2;79;2024-05-31
265;412;265;Tom Gores;9,1;59;2024-05-31
266;253;266;Tilman Fertitta;9,1;66;2024-05-31
267;198;267;Jim Pattison;9,1;95;2024-05-31
268;328;268;Igor Bukhman;9;42;2024-05-31
269;327;268;Dmitri Bukhman;9;39;2024-05-31
270;335;270;J. Christopher Reyes;9;70;2024-05-31
271;336;270;Jude Reyes;9;68;2024-05-31
272;200;272;Wang Xing;9;45;2024-05-31
273;212;273;Alexander Otto;9;56;2024-05-31
274;334;274;Shapoor Mistry;9;59;2024-05-31
275;267;275;Ramzi Musallam;9;55;2024-05-31
