User_ID;Table_rank_2022;Name;net_worth_in_BillionUSD_2022;Age_of_person_2022
2684;296;Ding Shizhong and family;7,80;51
242;296;Jim Kennedy;7,80;74
250;296;German Khan;7,80;60
328;296;Liang Wengen;7,80;65
244;296;Blair Parry-Okeden;7,80;71
441;296;Tsai Eng-meng;7,80;65
2685;304;Bajaj siblings;7,70;64
336;304;Ashwin Dani and family;7,70;79
301;304;Ding Shijia;7,70;58
260;304;Karel Komarek;7,70;53
303;304;Henry Kravis;7,70;78
329;304;Frederik Paulsen;7,70;71
2686;304;Safra siblings;7,70;64
310;304;Nassef Sawiris;7,70;61
382;304;Xu Shihui;7,70;64
383;313;Rahel Blocher;7,60;46
144;313;Shahid Khan;7,60;71
373;313;Magdalena Martullo-Blocher;7,60;53
202;316;Vincent Bollore and family;7,50;70
174;316;Jeffery Hildebrand;7,50;63
191;316;Michael Kim;7,50;58
321;316;Richard Kinder;7,50;77
273;316;David Shaw;7,50;71
211;321;John Malone;7,40;81
2687;321;Vicky Safra;7,40;69
590;321;Tim Sweeney;7,40;51
418;324;Mike Adenuga;7,30;68
117;324;David Green and family;7,30;80
302;324;Paul Tudor Jones II.;7,30;67
358;324;Yuri Milner;7,30;60
287;324;Henry Samueli;7,30;67
444;324;Patrick Soon-Shiong;7,30;69
209;330;Antonia Axson Johnson and family;7,20;78
422;330;Michael Kadoorie;7,20;80
278;330;Lin Shu-hong;7,20;93
443;330;Niels Peter Louis-Hansen;7,20;74
288;330;Reinhold Schmieding;7,20;67
330;330;Wee Cho Yaw;7,20;93
353;336;Silvio Berlusconi and family;7,10;85
299;336;Arthur Blank;7,10;79
634;336;Qian Dongqi and family;7,10;64
341;336;J. Christopher Reyes;7,10;68
342;336;Jude Reyes;7,10;66
899;336;Nik Storonsky;7,10;37
2688;336;Zhou Qunfei and family;7,10;52
1178;343;Deng Weiming and family;7,00;53
325;343;Judy Faulkner;7,00;78
285;343;Robin Li;7,00;53
229;343;Carrie Perrodo and family;7,00;71
394;343;David Reuben;7,00;83
395;343;Simon Reuben;7,00;80
464;343;Seo Jung-jin;7,00;64
2690;350;Roman Abramovich;6,90;55
466;350;Micky Arison;6,90;72
345;350;Edythe Broad and family;6,90;86
318;350;Terry Gou;6,90;71
613;350;Jiang Bin;6,90;55
574;350;Vinod Khosla;6,90;67
337;350;Ralph Lauren;6,90;82
501;350;Douglas Leone;6,90;64
2075;350;Lucia Maggi and family;6,90;89
578;350;Horst Julius Pudwill;6,90;77
251;350;Abdulsamad Rabiu;6,90;61
311;350;Harry Stine;6,90;80
404;350;Dennis Washington;6,90;87
291;363;Hasmukh Chudgar and family;6,80;88
399;363;Stanley Druckenmiller;6,80;68
557;363;Jonathan Gray;6,80;52
526;363;Kwon Hyuk-bin;6,80;48
433;363;Frank Lowy;6,80;91
351;363;Ronda Stryker;6,80;67
2692;369;Alejandro Bailleres Gual and siblings;6,70;61
312;369;Benu Gopal Bangur;6,70;90
305;369;James Goodnight;6,70;79
408;369;Alain Merieux and family;6,70;84
315;369;Enrique Razon Jr.;6,70;62
265;369;Robert F. Smith;6,70;59
1369;375;Brian Armstrong;6,60;39
352;375;Dannine Avara;6,60;58
636;375;Patrick Drahi;6,60;58
355;375;Scott Duncan;6,60;39
356;375;Milane Frantz;6,60;52
439;375;Andreas Halvorsen;6,60;60
338;375;Law Kar Po;6,60;73
185;375;Nicolas Puech;6,60;79
175;375;Viktor Rashnikov;6,60;73
2693;375;Dmitry Rybolovlev;6,60;55
364;375;Randa Duncan Williams;6,60;60
230;386;Chen Jianhua;6,50;51
407;386;John Grayken;6,50;65
456;386;Ray Lee Hunt;6,50;78
347;386;Philippe Laffont;6,50;54
388;386;Henry Nicholas III.;6,50;62
2694;386;Axel Oberwelland and siblings;6,50;55
807;386;Cliff Obrecht;6,50;36
360;386;John Overdeck;6,50;52
808;386;Melanie Perkins;6,50;34
741;386;Ruan Hongliang and family;6,50;61
361;386;David Siegel;6,50;60
2695;386;David Velez;6,50;40
721;398;Juergen Blickle;6,40;75
512;398;Cheng Xue;6,40;52
335;398;Jack Dangermond;6,40;76
475;398;Jiang Weiping and family;6,40;67
323;398;Takahisa Takahara;6,40;60
268;403;Orlando Bravo;6,30;51
586;403;Hong Ra-hee;6,30;76
2696;403;Edward Johnson  IV.;6,30;57
1047;403;Li Xiaohua and family;6,30;60
306;403;Sri Prakash Lohia;6,30;69
490;403;Miao Hangen;6,30;57
1252;403;Bobby Murphy;6,30;33
465;403;Wu Jianshu;6,30;58
411;411;Maria Asuncion Aramburuzabala and family;6,20;58
391;411;Melinda French Gates;6,20;57
387;411;Bruce Kovner;6,20;77
651;411;Pham Nhat Vuong;6,20;53
417;411;Michal Solowow;6,20;59
296;411;Leonard Stern;6,20;84
410;411;Stef Wertheimer and family;6,20;95
276;418;Rocco Commisso;6,10;72
594;418;Jack Dorsey;6,10;45
670;418;Lin Li;6,10;58
544;418;George Lucas;6,10;77
1156;418;Evan Spiegel;6,10;31
485;418;Zhao Yan;6,10;55
419;424;Tom Gores;6,00;57
489;424;Leo Koguan;6,00;67
401;424;Alexei Kuzmichev;6,00;59
449;424;Fredrik Lundberg;6,00;70
246;424;John Morris;6,00;74
289;424;Ivar Tollefsen;6,00;60
2697;424;John  Alan and Bruce Wilson;6,00;64
398;431;Stephen Bisciotti;5,90;61
487;431;Mahendra Choksi and family;5,90;80
400;431;Jian Jun;5,90;58
517;431;Barry Lam;5,90;72
671;431;Michael Moritz;5,90;67
2698;431;Teh Hong Piow;5,90;92
2699;431;Gary Wang;5,90;28
584;438;Andre Esteves;5,80;53
2700;438;Joshua Harris;5,80;57
2701;438;Rakesh Jhunjhunwala;5,80;61
459;438;Ken Langone;5,80;86
477;438;Ludwig Merckle;5,80;57
350;438;Sandra Ortega Mera;5,80;53
375;438;Terrence Pegula;5,80;71
461;438;Karen Pritzker;5,80;64
478;438;Mitchell Rales;5,80;65
493;438;Wolfgang Reimann;5,80;69
494;438;Matthias Reimann-Andersen;5,80;57
495;438;Stefan Reimann-Andersen;5,80;58
496;438;Renate Reimann-Haas;5,80;70
415;438;Ruan Liping;5,80;58
416;438;Ruan Xueping;5,80;50
520;438;Charles Simonyi;5,80;73
377;438;John A. Sobrato and family;5,80;82
435;438;David Steward;5,80;70
396;438;Radovan Vitek;5,80;50
436;438;Les Wexner and family;5,80;84
2702;438;Aloys Wobben;5,80;70
522;438;Sam Zell;5,80;80
405;460;Anthony Bamford and family;5,70;76
2703;460;Rainer Blickle;5,70;74
447;460;Clive Calder;5,70;75
413;460;Frits Goldschmeding;5,70;88
516;460;Ananda Krishnan;5,70;84
633;460;Joe Mansueto;5,70;65
617;460;Odd Reitan and family;5,70;70
440;460;Antony Ressler;5,70;60
1420;460;Tang Xiao  ou;5,70;54
2704;460;Tse Ping;5,70;70
697;460;Ken Xie;5,70;59
258;471;Tilman Fertitta;5,60;64
502;471;Prajogo Pangestu;5,60;77
3136;471;Edward Roski Jr;5,60;83
463;471;Teddy Sagi;5,60;50
548;471;Thomas Straumann;5,60;58
379;471;David Sun;5,60;70
381;471;John Tu;5,60;80
509;471;Erich Wesjohann and family;5,60;76
2706;471;Xu Jinfu;5,60;58
425;480;Alexander Abramov;5,50;63
427;480;Neil Bluhm;5,50;84
320;480;Don Hankey;5,50;78
2707;480;Kwee brothers;5,50;64
542;480;Jane Lauder;5,50;49
649;480;Gwendolyn Sontheim Meyer;5,50;60
295;480;John Reece;5,50;65
214;480;Eric Smidt;5,50;62
362;480;Viktor Vekselberg;5,50;64
508;480;Ronald Wanek;5,50;80
426;490;Rene Benko;5,40;45
446;490;John Brown;5,40;87
1174;490;Chen Zhiping;5,40;46
292;490;Andrew Currie;5,40;66
552;490;Jim Davis and family;5,40;78
593;490;Charles Dolan and family;5,40;95
556;490;Tom Golisano;5,40;80
1606;490;Hui Wing Mau;5,40;71
210;490;Daniel Kretinsky;5,40;46
370;490;Massimiliana Landini Aleotti and family;5,40;79
432;490;Joe Lewis;5,40;85
599;490;Li Chunan;5,40;53
414;490;Lin Muqin and family;5,40;58
