"rank","r-name","r-name-sub","score","detail-box","detail-box 2","detail-box 3","detail-box 4","detail-box 5","detail-box 6"
"35","Helen GILLETT","USA","646.5","25.5","145","380","8.5","39.5","48"
"36","Ai MORI","JPN","600","415","185","","","",""
"37","Selma ELHADJ MIMOUNE","FRA","569","170","26","120","68","185","0"
"38","Lucile SAUREL","FRA","545","52","155","155","50","83","50"
"39","Lucija TARKUS","SLO","522","112.5","46","95","63","68","137.5"
"40","Stella GIACANI","ITA","514.5","145","177.5","64","19","109","0"
"41","Alma BESTVATER","GER","487","220","52","120","33","24","38"
"42","Zoe PEETERMANS","GBR","456.5","120","185","78.5","31.5","13.5","28"
"43","Martina BURŠÍKOVÁ","SVK","431.6","205","20","120","52","6.6","28"
"44","Flora OBLASSER","AUT","411","42","260","109","","",""
"45","Maya STASIUK","AUS","403.75","178.75","225","","","",""
"46","Maya DREAMER","ISR","348.5","290","0","39.5","19","",""
"47","Kaho MURAKOSHI","JPN","331","6","120","105","100","",""
"48","Roxana WIENAND","GER","319.16","39.5","105","95","39.5","31.5","8.66"
"49","Zhilu LUO","CHN","311.5","280","31.5","","","",""
"50","Lea KEMPF","AUT","301.25","16","79","178.75","5","9","13.5"
"51","Sandra LETTNER","AUT","293.25","6.5","16","205","13","14.75","38"
"52","Giulia MEDICI","ITA","292.66","89.5","39.5","9","130","19","5.66"
"53","Valentina AGUADO","ARG","291.5","192","56","37","6.5","",""
"54","Andrea KÜMIN","SUI","277","260","0","6.5","10.5","",""
