ID;User_ID;Rank_2024_01;Person;net_worth_in_BillionUSD_2024_01;Age_of_person_2024_01;Date_of_data
348;413;348;Michael Herz;7,3;80;2024-01-31
349;414;349;Wolfgang Herz;7,3;73;2024-01-31
350;546;350;Marcos Galperin;7,3;;2024-01-31
351;319;351;Judy Faulkner;7,2;80;2024-01-31
352;511;352;Robert Rich Jr;7,2;83;2024-01-31
353;391;353;Stephen Bisciotti;7,2;63;2024-01-31
354;104;354;Pang Kang;7,2;68;2024-01-31
355;289;355;Philip Ng;7,2;65;2024-01-31
356;320;356;Johann Graf;7,2;77;2024-01-31
357;449;357;Ray Lee Hunt;7,2;80;2024-01-31
358;316;358;Guillaume Pousaz;7,2;42;2024-01-31
359;324;359;Wee Cho Yaw;7,2;95;2024-01-31
360;312;360;Terry Gou;7,1;73;2024-01-31
361;397;361;Dennis Washington;7,1;89;2024-01-31
362;302;362;Robert Ng;7,0;72;2024-01-31
363;218;363;Tatyana Bakalchuk;7,0;48;2024-01-31
364;3014;364;Edward Roski Jr;7,0;85;2024-01-31
365;339;365;Edythe Broad;7,0;88;2024-01-31
366;240;366;Zheng Shuliang;6,9;78;2024-01-31
367;283;367;Reinhold Schmieding;6,9;69;2024-01-31
368;110;368;Robert Pera;6,9;45;2024-01-31
369;565;369;Vinod Khosla;6,9;69;2024-01-31
370;398;370;Anthony Bamford;6,9;78;2024-01-31
371;290;371;John Reece;6,9;66;2024-01-31
372;287;372;Andrew Currie;6,9;68;2024-01-31
373;470;373;Ludwig Merckle;6,9;59;2024-01-31
374;328;374;Igor Bukhman;6,8;41;2024-01-31
375;327;375;Dmitri Bukhman;6,8;38;2024-01-31
376;368;376;Xavier Niel;6,8;56;2024-01-31
377;410;377;Michal Solowow;6,8;61;2024-01-31
378;307;378;Iskander Makhmudov;6,8;60;2024-01-31
379;317;379;Takahisa Takahara;6,8;62;2024-01-31
380;369;380;Terrence Pegula;6,8;72;2024-01-31
381;387;381;David Reuben;6,8;85;2024-01-31
382;388;382;Simon Reuben;6,8;82;2024-01-31
383;582;383;Bert Beveridge;6,8;62;2024-01-31
384;242;384;Stefano Pessina;6,8;82;2024-01-31
385;451;385;Vikram Lal;6,8;81;2024-01-31
386;200;386;Wang Xing;6,8;44;2024-01-31
387;373;387;Agnete Kirk Thinggaard;6,8;40;2024-01-31
388;361;388;Kjeld Kirk Kristiansen;6,8;76;2024-01-31
389;362;389;Sofie Kirk Kristiansen;6,8;48;2024-01-31
390;363;390;Thomas Kirk Kristiansen;6,8;45;2024-01-31
391;352;391;Yuri Milner;6,8;62;2024-01-31
392;308;392;Anders Holch Povlsen;6,8;51;2024-01-31
393;360;393;Christopher Hohn;6,7;57;2024-01-31
394;367;394;Magdalena Martullo-Blocher;6,7;55;2024-01-31
395;376;395;Rahel Blocher;6,7;48;2024-01-31
396;3015;396;Ernest Garcia II.;6,7;66;2024-01-31
397;273;397;Lin Shu-hong;6,7;95;2024-01-31
398;371;398;George Soros;6,7;93;2024-01-31
399;423;399;Gopikishan Damani;6,7;66;2024-01-31
400;661;400;Lynsi Snyder;6,7;41;2024-01-31
401;239;401;Blair Parry-Okeden;6,7;73;2024-01-31
402;237;402;Jim Kennedy;6,7;76;2024-01-31
403;301;403;Ma Jianrong;6,6;60;2024-01-31
404;214;404;Wang Liping;6,6;57;2024-01-31
405;401;405;Alain Merieux;6,6;86;2024-01-31
406;442;406;Fredrik Lundberg;6,6;72;2024-01-31
407;389;407;Radovan Vitek;6,6;52;2024-01-31
408;742;408;Li Xiang;6,6;42;2024-01-31
409;443;409;Thomas Schmidheiny;6,5;78;2024-01-31
410;473;410;Jean Salata;6,5;58;2024-01-31
411;394;411;Alexei Kuzmichev;6,5;61;2024-01-31
412;541;412;Chip Wilson;6,5;67;2024-01-31
413;427;413;Michael Milken;6,5;77;2024-01-31
414;356;414;Viktor Vekselberg;6,5;66;2024-01-31
415;426;415;Frank Lowy;6,5;93;2024-01-31
416;357;416;Wang Laisheng;6,5;59;2024-01-31
417;499;417;Gary Rollins;6,4;79;2024-01-31
418;402;418;Wang Yusuo;6,4;59;2024-01-31
419;246;419;Abdulsamad Rabiu;6,4;63;2024-01-31
420;411;420;Mike Adenuga;6,4;70;2024-01-31
421;649;421;Thomas Hagen;6,4;88;2024-01-31
422;222;422;Pierre Omidyar;6,4;56;2024-01-31
423;395;423;Dmitry Rybolovlev;6,4;57;2024-01-31
424;407;424;Lin Muqin;6,4;60;2024-01-31
425;337;425;Don Vultaggio;6,4;71;2024-01-31
426;386;426;Annette Lerner;6,3;93;2024-01-31
427;382;427;Nadia Thiele;6,3;48;2024-01-31
428;415;428;Michael Kadoorie;6,3;82;2024-01-31
429;400;429;John Grayken;6,3;67;2024-01-31
430;670;430;Scott Cook;6,3;71;2024-01-31
431;504;431;Alexandre Behring;6,3;56;2024-01-31
432;544;432;Murali Divi;6,3;72;2024-01-31
433;293;433;Zhong Huijuan;6,3;63;2024-01-31
434;420;434;Neil Bluhm;6,3;86;2024-01-31
435;404;435;Maria Asuncion Aramburuzabala;6,3;60;2024-01-31
436;609;436;Marc Rowan;6,3;61;2024-01-31
437;403;437;Stef Wertheimer;6,3;97;2024-01-31
438;310;438;Wang Laichun;6,2;56;2024-01-31
439;441;439;Arthur Irving;6,2;94;2024-01-31
440;444;440;Helmut Sohmen;6,2;84;2024-01-31
441;383;441;David Bonderman;6,2;81;2024-01-31
442;664;442;Peter Thiel;6,2;56;2024-01-31
443;249;443;Wang Jianlin;6,2;69;2024-01-31
444;477;444;Richard White;6,2;68;2024-01-31
445;280;445;Robin Li;6,2;55;2024-01-31
446;425;446;Joe Lewis;6,2;86;2024-01-31
447;454;447;Karen Pritzker;6,2;66;2024-01-31
448;466;448;Dan Friedkin;6,2;58;2024-01-31
449;583;449;Mark Cuban;6,2;65;2024-01-31
450;446;450;Dirk Ziff;6,2;59;2024-01-31
451;445;451;Daniel Ziff;6,2;52;2024-01-31
452;447;452;Robert Ziff;6,2;57;2024-01-31
453;392;453;Stanley Druckenmiller;6,2;70;2024-01-31
454;385;454;Nathan Kirsh;6,1;92;2024-01-31
455;341;455;Philippe Laffont;6,1;56;2024-01-31
456;474;456;Paul Singer;6,1;79;2024-01-31
457;482;457;Leo Koguan;6,1;68;2024-01-31
458;572;458;Gayle Benson;6,1;77;2024-01-31
459;496;459;Thomas Pritzker;6,1;73;2024-01-31
460;490;460;Todd Boehly;6,1;50;2024-01-31
461;318;461;Zong Qinghou;6,0;78;2024-01-31
462;429;462;Les Wexner;6,0;86;2024-01-31
463;621;463;Joe Mansueto;6,0;67;2024-01-31
464;93;464;Carl Icahn;6,0;87;2024-01-31
465;225;465;Chen Jianhua;6,0;53;2024-01-31
466;3016;466;William Goldring;6,0;81;2024-01-31
467;559;467;Tomasz Biernacki;6,0;51;2024-01-31
468;728;468;Mark Stevens;6,0;63;2024-01-31
469;418;469;Alexander Abramov;6,0;64;2024-01-31
470;697;470;Rajan Mittal;5,9;64;2024-01-31
471;698;471;Rakesh Mittal;5,9;68;2024-01-31
472;514;472;Ty Warner;5,9;79;2024-01-31
473;500;473;Mark Walter;5,9;63;2024-01-31
474;534;474;Michel Leclercq;5,9;84;2024-01-31
475;436;475;Niels Peter Louis-Hansen;5,9;76;2024-01-31
476;406;476;Frits Goldschmeding;5,9;90;2024-01-31
477;432;477;Andreas Halvorsen;5,9;62;2024-01-31
478;577;478;Hong Ra-hee;5,8;78;2024-01-31
479;617;479;Rafael Del Pino;5,8;65;2024-01-31
480;506;480;Robert Faith;5,8;60;2024-01-31
481;551;481;Rudolf Maag;5,8;78;2024-01-31
482;556;482;Kelcy Warren;5,8;68;2024-01-31
483;322;483;Liang Wengen;5,8;67;2024-01-31
484;274;484;Qi Shi;5,8;54;2024-01-31
485;543;485;Jim Davis;5,8;80;2024-01-31
