ID;User_ID;Table_rank_2024_03;Person;net_worth_in_BillionUSD_2024_03;Age_of_person_2024_03;Date_of_data
259;198;259;Jim Pattison;9,3;95;2024-03-30
260;255;260;Karel Komarek;9,3;55;2024-03-30
261;348;261;Denise Coates;9,3;56;2024-03-30
262;185;262;Andrei Guryev;9,3;64;2024-03-30
263;211;263;Ivan Glasenberg;9,3;67;2024-03-30
264;205;264;Daniel Kretinsky;9,3;48;2024-03-30
265;334;265;Shapoor Mistry;9,3;59;2024-03-30
266;331;266;Ralph Lauren;9,3;84;2024-03-30
267;260;267;Robert F. Smith;9,2;61;2024-03-30
268;200;268;Wang Xing;9,2;45;2024-03-30
269;243;269;Francine von Finck;9,2;79;2024-03-30
270;117;270;Xu Hang;9,1;61;2024-03-30
271;276;271;Zhang Congyuan;9,1;76;2024-03-30
272;412;272;Tom Gores;9,1;59;2024-03-30
273;3015;273;Ernest Garcia II.;9,1;66;2024-03-30
274;327;274;Dmitri Bukhman;9;38;2024-03-30
275;328;275;Igor Bukhman;9;42;2024-03-30
276;336;276;Jude Reyes;9;68;2024-03-30
277;335;277;J. Christopher Reyes;9;70;2024-03-30
278;267;278;Ramzi Musallam;9;55;2024-03-30
279;181;279;Jacques Saade Jr;8,9;52;2024-03-30
280;182;280;Rodolphe Saade;8,9;54;2024-03-30
281;183;281;Tanya Saade Zeenny;8,9;56;2024-03-30
282;304;282;Nassef Sawiris;8,9;63;2024-03-30
283;465;283;Piero Ferrari;8,9;78;2024-03-30
284;455;284;Robert Rowling;8,9;70;2024-03-30
285;231;285;Carlos Alberto Sicupira;8,9;76;2024-03-30
286;452;286;Ken Langone;8,8;88;2024-03-30
287;278;287;Marie Besnier Beauvalot;8,8;43;2024-03-30
288;277;288;Jean-Michel Besnier;8,8;56;2024-03-30
289;175;289;Quek Leng Chan;8,8;82;2024-03-30
290;212;290;Alexander Otto;8,7;56;2024-03-30
291;263;291;Orlando Bravo;8,7;53;2024-03-30
292;359;292;Ken Fisher;8,7;73;2024-03-30
293;294;293;Arthur Blank;8,6;81;2024-03-30
294;104;294;Pang Kang;8,6;68;2024-03-30
295;435;295;Josh Harris;8,5;59;2024-03-30
296;262;296;Eric Wittouck;8,5;77;2024-03-30
297;245;297;German Khan;8,5;62;2024-03-30
298;293;298;Zhong Huijuan;8,5;63;2024-03-30
299;292;299;Joseph Tsai;8,5;60;2024-03-30
300;338;300;Alejandro Bailleres Gual;8,4;63;2024-03-30
301;268;301;David Shaw;8,3;73;2024-03-30
302;517;302;Rekha Jhunjhunwala;8,3;60;2024-03-30
303;300;303;Sri Prakash Lohia;8,3;71;2024-03-30
304;303;304;Steven Rales;8,3;73;2024-03-30
305;307;305;Iskander Makhmudov;8,3;60;2024-03-30
306;315;306;Richard Kinder;8,3;79;2024-03-30
307;345;307;Ronda Stryker;8,2;69;2024-03-30
308;687;308;Elisabeth DeLuca;8,2;76;2024-03-30
309;244;309;Francis Choi;8,2;76;2024-03-30
310;291;310;Leonard Stern;8,1;86;2024-03-30
311;3012;311;Paul Tudor Jones II.;8,1;69;2024-03-30
312;329;312;Jack Dangermond;8,1;78;2024-03-30
313;279;313;David Geffen;8,1;81;2024-03-30
314;390;314;Carl Bennet;8,1;72;2024-03-30
315;561;315;Jimmy Haslam;8;70;2024-03-30
316;148;316;Liu Hanyuan;8;60;2024-03-30
317;459;317;Micky Arison;8;74;2024-03-30
318;271;318;Rocco Commisso;8;74;2024-03-30
319;226;319;Michael Otto;8;80;2024-03-30
320;375;320;Xu Shihui;7,9;66;2024-03-30
321;284;321;Ivar Tollefsen;7,9;62;2024-03-30
322;442;322;Fredrik Lundberg;7,9;72;2024-03-30
323;423;323;Gopikishan Damani;7,9;66;2024-03-30
324;358;324;Randa Duncan Williams;7,9;62;2024-03-30
325;316;325;Guillaume Pousaz;7,8;42;2024-03-30
326;346;326;Dannine Avara;7,8;60;2024-03-30
327;477;327;Richard White;7,8;68;2024-03-30
328;414;328;Wolfgang Herz;7,8;73;2024-03-30
329;413;329;Michael Herz;7,8;80;2024-03-30
330;349;330;Scott Duncan;7,8;41;2024-03-30
331;350;331;Milane Frantz;7,8;54;2024-03-30
332;321;332;Tamara Gustavson;7,8;62;2024-03-30
333;780;333;Jaime Gilinski Bacal;7,8;66;2024-03-30
334;380;334;Bruce Kovner;7,7;79;2024-03-30
335;332;335;Law Kar Po;7,7;75;2024-03-30
336;343;336;Igor Olenicoff;7,7;81;2024-03-30
337;286;337;Hasmukh Chudgar;7,7;90;2024-03-30
338;213;338;Anthony von Mandl;7,7;74;2024-03-30
339;475;339;Sergio Stevanato;7,7;81;2024-03-30
340;439;340;John Brown;7,7;89;2024-03-30
341;295;341;Charles Butt;7,6;86;2024-03-30
342;457;342;Seo Jung-jin;7,6;66;2024-03-30
343;261;343;Pavel Tykac;7,6;59;2024-03-30
344;719;344;Fernando Roberto Moreira Salles;7,6;77;2024-03-30
345;428;345;David Steward;7,6;72;2024-03-30
346;548;346;Jonathan Gray;7,6;54;2024-03-30
347;503;347;M.A. Yusuff Ali;7,6;68;2024-03-30
348;494;348;Douglas Leone;7,6;66;2024-03-30
349;313;349;Jeff Greene;7,5;69;2024-03-30
350;125;350;Chen Bang;7,5;58;2024-03-30
351;323;351;Frederik Paulsen;7,5;73;2024-03-30
352;364;352;Massimiliana Landini Aleotti;7,5;81;2024-03-30
353;421;353;Alain Bouchard;7,4;75;2024-03-30
354;218;354;Tatyana Bakalchuk;7,4;48;2024-03-30
355;513;355;Charles Simonyi;7,4;75;2024-03-30
356;319;356;Judy Faulkner;7,4;80;2024-03-30
357;398;357;Anthony Bamford;7,4;78;2024-03-30
358;314;358;Don Hankey;7,4;80;2024-03-30
359;283;359;Reinhold Schmieding;7,3;69;2024-03-30
360;706;360;Juergen Blickle;7,3;77;2024-03-30
361;340;361;Pauline MacMillan Keinath;7,3;90;2024-03-30
362;649;362;Thomas Hagen;7,3;88;2024-03-30
363;355;363;David Siegel;7,3;62;2024-03-30
364;354;364;John Overdeck;7,3;54;2024-03-30
365;382;365;Nadia Thiele;7,3;48;2024-03-30
366;511;366;Robert Rich Jr;7,2;83;2024-03-30
367;396;367;Luis Carlos Sarmiento;7,2;91;2024-03-30
368;449;368;Ray Lee Hunt;7,2;80;2024-03-30
369;473;369;Jean Salata;7,2;58;2024-03-30
370;391;370;Stephen Bisciotti;7,2;63;2024-03-30
371;215;371;Finn Rausing;7,2;69;2024-03-30
372;216;372;Jorn Rausing;7,2;64;2024-03-30
