Business,2021_total,2022_total,2023_total
Instagram,1.90,1.50,1.50
Feed,1.90,1.60,1.50
"Office real estate",1.90,1.40,1.00
"Oil trading",1.80,1.80,4.00
"Medical cosmetics",1.80,1.90,2.10
Nascar,1.80,1.80,1.80
"Liquor stores",1.80,NULL,1.50
Brewery,1.80,1.60,1.50
"Beauty products",1.80,1.90,1.40
"Data analytics",1.80,5.00,3.80
"IT products",1.80,2.80,NULL
Patagonia,1.80,1.20,NULL
"telecom services",1.80,1.20,NULL
Ceramic,1.80,NULL,NULL
Cobalt,1.70,2.80,2.50
Sears,1.70,1.80,1.90
Salsa,1.70,1.80,1.80
"Medical patents",1.70,1.80,1.80
"Sandwich chain",1.70,1.70,1.70
"Non-ferrous metals",1.70,1.70,1.60
Materials,1.70,2.10,1.60
"Testing equipment",1.70,1.40,1.40
"Messaging software",1.70,1.40,1.30
"Online payments",1.70,1.80,1.30
"Computer games",1.70,1.50,1.20
"Wire and cables",1.70,1.70,1.10
"LED lighting",1.70,1.10,1.00
"sports betting",1.70,NULL,NULL
"Subway Sandwichs",1.70,NULL,NULL
"game shops",1.70,NULL,NULL
"Valve manufacturing",1.60,1.60,2.40
"Pearlescent pigments",1.60,2.20,2.30
"Charlotte Hornets",1.60,1.70,2.00
Jewellery,1.60,1.80,1.90
"Energy services",1.60,3.30,2.70
Transport,1.60,1.70,1.60
Sugar,1.60,2.30,1.50
"Powdered metal",1.60,1.40,1.40
"Cooking appliances",1.60,1.50,1.40
"Minerals processing",1.60,2.10,1.30
"Health products",1.60,1.50,1.30
"electric equipment",1.60,1.30,NULL
"packaged food",1.60,NULL,NULL
confectionery,1.60,NULL,NULL
"Accounting services",1.50,2.20,2.10
"Dental products",1.50,1.30,2.00
"Solar energy equipment",1.50,2.20,2.00
"Medical products",1.50,1.70,1.70
"Wedding dresses",1.50,1.70,1.70
"Electric power",1.50,1.50,1.60
"Pharmaceutical services",1.50,1.30,1.60
"Waste disposal",1.50,2.10,1.60
AOL,1.50,1.50,1.40
"Medical diagnostics",1.50,3.10,2.50
"Security services",1.50,1.20,1.10
"Health clinics",1.50,1.10,1.00
"electric components",1.50,1.70,NULL
"vaccine and shoes",1.50,1.20,NULL
plastics,1.50,NULL,NULL
"Computer networking",1.40,2.10,2.30
"Dicks Sporting Goods",1.40,1.70,2.10
"Semiconductor devices",1.40,2.40,1.60
"Fine jewelry",1.40,1.50,1.50
"Seed production",1.40,1.60,1.30
"Urban Outfitters",1.40,1.20,1.20
"Stock photos",1.40,1.50,1.20
"Stock exchange",1.40,1.10,1.10
"Industrial lasers",1.40,1.60,1.00
Bio-Pharma,1.40,NULL,1.00
"Grocery stores",1.40,1.40,1.00
diagnostics,1.40,2.30,NULL
"Rocket Internet",1.40,NULL,NULL
"home appliance",1.40,NULL,NULL
"Levi's jeans",1.40,NULL,NULL
Silicon,1.30,3.00,2.00
"Gym equipment",1.30,1.40,1.50
"Fashion retailer",1.30,1.30,1.40
Property,1.30,1.30,1.20
"Poultry breeding",1.30,1.20,1.10
"Tyre manufacturing machinery",1.30,NULL,1.00
IT,1.30,2.40,NULL
