"person","id","gender","country_of_residence","net_worth_in_billionusd_2024_01","net_worth_in_billionusd_2024_02","net_worth_in_billionusd_2024_03","net_worth_in_billionusd_2024_04","net_worth_in_billionusd_2024_05","net_worth_in_billionusd_2024_06","net_worth_in_billionusd_2024_07","net_worth_in_billionusd_2024_08","net_worth_in_billionusd_2024_09","net_worth_in_billionusd_2024_10","net_worth_in_billionusd_2024_11","net_worth_in_billionusd_2024_12"
"Xu Guozhong",2089,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Yao Kuizhang",2090,"male","China","1.60","1.60","1.70","1.70","1.70","1.40","1.40","1.30","1.60","1.40","1.50","1.50"
"Yu Peidi",2091,"male","China","1.30","1.30","1.30","1.40","1.40","1.40","1.30","1.30","1.40","1.40","1.40","1.30"
"Yuan Liping",2092,"female","China",NULL,"1.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhang Chuanwei",2093,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zhang Keqiang",2094,"male","China","1.20","1.20","1.10","1.10","1.20","1.10","1.10","1.10","1.30","1.20","1.20","1.10"
"Zhang Xin",2095,"female","China","1.10","1.10","1.10","1.10","1.10","1.10","1.10","1.20","1.20","1.20","1.10","1.10"
"Xinghai Zhang",2096,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Zheng Jianjiang",2097,"male","China","2.00","2.40","2.60","3.00","3.00","3.00","2.60","2.90","3.10","2.80","2.70","2.70"
"Zhong Sheng Jian",2098,"male","Singapore",NULL,NULL,"1.00",NULL,NULL,NULL,NULL,NULL,"1.30","1.30","1.20","1.20"
"Zhou Chengjian",2099,"male","China","1.30","1.30","1.30","1.30","1.20","1.10","1.20","1.20","1.30","1.30","1.30","1.30"
"Boris Zingarevich",2100,"male","Russia","1.20","1.20","2.10","2.10","2.10","2.10","2.10","2.10","2.20","2.10","2.10","2.10"
"A. Jayson Adair",2101,"male","USA","1.80","1.90","2.10","2.00","2.00","2.00","2.00","2.00","2.00","1.90","2.30","2.10"
"Soegiarto Adikoesoemo",2102,"male","Indonesia","1.50","1.60","1.50","1.50","1.40","1.40","1.40","1.40","1.50","1.30","1.20","1.10"
"Rajendra Agarwal",2103,"male","India","1.90","1.90","1.90","1.90","1.90","1.90","1.80","1.80","1.80","1.80","1.80","1.80"
"Chirayu Amin",2104,"male","India","1.80","1.90","1.80","1.80","1.80","1.80","2.10","2.00","2.10","2.00","2.00","1.90"
"Anant Asavabhokhin",2105,"male","Thailand","1.10","1.10","1.10","1.10","1.00",NULL,NULL,"1.00","1.10","1.00",NULL,NULL
"Roman Avdeev",2106,"male","Russia","1.00","1.10","1.20","1.20","1.20","1.20","1.20","1.30","1.20","1.20","1.20","1.20"
"Ziv Aviram",2107,"male","Israel","1.30","1.30","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
"Sachin Bansal",2108,"male","India","1.30","1.30","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20"
"Kiki Barki",2109,"male","Indonesia","1.20","1.30","1.40","1.40","1.50","1.30","1.30","1.50","1.50","1.30","1.20","1.10"
"Elena Baturina",2110,"female","UK","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30"
"Banwari Lal Bawri",2111,"male","India","1.90","1.90","1.90","1.90","1.90","1.90","1.80","1.80","1.80","1.80","1.80","1.80"
"Othman Benjelloun",2112,"male","Morocco","1.40","1.40","1.40","1.40","1.50","1.40","1.50","1.60","1.60","1.50","1.50","1.50"
"Hari Bhartia",2113,"male","India","1.50","1.50","1.40","1.50","1.60","1.80","1.90","2.00","2.20","2.00","2.10","2.30"
"Shyam Bhartia",2114,"male","India","1.50","1.50","1.40","1.50","1.60","1.80","1.90","2.00","2.20","2.00","2.10","2.30"
"Stewart Butterfield",2115,"male","USA","1.60","1.70","1.70","1.60","1.50","1.60","1.60","1.50","1.60","1.70","1.80","1.80"
"Cai Mingtong",2116,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Anthony Casalena",2117,"male","USA","1.60","1.70","1.80","1.70","2.20","2.20","2.20","2.20","2.30","2.30","2.30","2.30"
"Chang Jianming",2118,"male","China","1.10","1.70","1.70","1.70","1.40","1.20","1.20","1.10","1.50","1.40","1.60","1.60"
"Richard Chang",2119,"male","Taiwan","1.50","1.50","1.60","1.60","1.70","1.80","1.70","1.90","1.90","1.70","1.70","1.60"
"Chen Xuehua",2120,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chen Yin",2121,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Chin Jong Hwa",2122,"male","Taiwan",NULL,NULL,NULL,"1.00","1.10",NULL,NULL,NULL,"1.20","1.10","1.00","1.10"
"R. Marcelo Claure",2123,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Alberto Cortina",2124,"male","Spain","1.50","1.40","1.40","1.30","1.40","1.40","1.40","1.40","1.30","1.30","1.30","1.30"
"Eduardo Costantini",2125,"male","Argentina","1.50","1.20","1.50","1.50","1.60","1.60","1.50","1.50","1.60","1.60","1.60","1.70"
"Wenjun Dai",2126,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Anand Deshpande",2127,"male","India","2.40","2.40",NULL,"1.90","1.90","2.40","2.70","2.90","3.00","3.00","3.20","3.50"
"Aydin Dogan",2128,"male","Turkey","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20"
"Annalisa Doris",2129,"male","Italy","1.40","1.50","1.50","1.50","1.50","1.50","1.60","1.60","1.60","1.60","1.50","1.50"
"Massimo Doris",2130,"male","Italy","1.40","1.40","1.50","1.50","1.50","1.50","1.50","1.60","1.60","1.60","1.50","1.50"
"Weimin Du",2131,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Timothy Dunn",2132,"male","USA","1.30","1.90","2.20","2.20","2.20","2.20","2.20","2.20","2.20","2.20","2.20","2.20"
"Keiko Erikawa",2133,"female","Japan",NULL,"1.20","1.00",NULL,NULL,NULL,NULL,"1.10","1.10",NULL,"1.10","1.10"
"Yoichi Erikawa",2134,"male","Japan",NULL,"1.20","1.00",NULL,NULL,NULL,NULL,"1.10","1.10",NULL,"1.10","1.10"
"Philip Fayer",2135,"male","Canada",NULL,"1.00","1.20","1.20","1.20","1.20","1.40","1.40","1.40","1.40",NULL,"1.40"
"Marvy Finger",2136,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Simona Giorgetta",2137,"female","Italy","1.30","1.30","1.10","1.10","1.10","1.10","1.10","1.20","1.20","1.10","1.10","1.10"
"Joel Greenberg",2138,"male","USA","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","2.30","2.30","2.30","2.30"
"He Zhiping",2139,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Heikki Herlin",2140,"male","Finland","1.30","1.40","1.40","1.50","1.60","1.50","1.30","1.40","1.50","1.40","1.40","1.30"
"Hoi Kin Hong",2141,"male","China","1.00","1.10",NULL,"1.00","1.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Lillyn Teh Li Hua",2142,"female","Malaysia","1.40","1.40","1.30","1.30","1.30","1.30","1.40","1.60","1.60","1.50","1.50","1.50"
"Gregg Hymowitz",2143,"male","USA","1.30","1.30","1.70","1.70","1.70","1.70","1.70","1.70","1.70","1.70","1.70","1.70"
"Mitchell Jacobson",2144,"male","USA","1.50","1.50","1.80","1.80","1.70","1.70","1.70","1.70","1.70","1.70","1.70","1.60"
"Anurang Jain",2145,"male","India","2.10","1.90","1.80","2.00","2.20","2.60","2.50","2.40","2.30","2.30","2.30","2.10"
"Jiang Guiting",2146,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Jin Xin",2147,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Conni Jonsson",2148,"female","Sweden","1.60","1.70","1.90","1.70","1.80","1.80","1.90","2.00","2.00","1.80","1.80","1.70"
"George Joseph",2149,"male","USA","1.50","1.70","1.70","1.70","1.80","1.80","1.90","2.00","1.90","2.00","2.30","2.00"
"Laurent Junique",2150,"male","France",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
