"person","id","gender","country_of_residence","net_worth_in_billionusd_2024_01","net_worth_in_billionusd_2024_02","net_worth_in_billionusd_2024_03","net_worth_in_billionusd_2024_04","net_worth_in_billionusd_2024_05","net_worth_in_billionusd_2024_06","net_worth_in_billionusd_2024_07","net_worth_in_billionusd_2024_08","net_worth_in_billionusd_2024_09","net_worth_in_billionusd_2024_10","net_worth_in_billionusd_2024_11","net_worth_in_billionusd_2024_12"
"John Wilson",1859,"male","Australia","2.20","2.60","2.70","2.70","2.60","2.50","2.70","2.80","2.90","2.30","2.50","2.10"
"Anthony Wood",1860,"male","USA","2.20","1.70","1.70","1.60","1.60","1.60","1.60","1.80","1.90","1.70","1.80","1.90"
"Wu Ying",1861,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Wu Yulan",1862,"female","China","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.60","1.60","1.60","1.50","1.50"
"Zhongyi Wu",1863,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Xiang Guangming",1864,"male","China","1.20","1.50","1.50","1.80","1.80","1.70","1.60","1.50","1.80","1.70","1.70","1.80"
"Xue Xiangdong",1865,"male","China","1.30","1.50","1.40","1.40","1.30","1.30","1.30","1.30","1.50","1.70","1.70","1.60"
"George Yancopoulos",1866,"male","USA","2.00","2.00","2.10","1.90","2.10","2.30","2.30","2.50","2.30","1.90","1.70","1.60"
"Steven Meng Yang",1867,"male","China","1.70","2.10","2.00","2.20","2.30","2.30","1.80","2.10","2.80","2.70","2.70","3.20"
"Ye Fan",1868,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Yi Dasheng",1869,"male","China","1.50","1.80","1.50","1.50","1.50","1.50","1.50","1.50","1.60","1.50","1.50","1.50"
"Yu Lili",1870,"female","China","1.10","1.40","1.60","1.50","1.50","1.30","1.40","1.20","1.60","1.90","1.80","1.90"
"Zeng Kaitian",1871,"male","China","1.30","1.40","1.40","1.30","1.30","1.20","1.20","1.30","1.40","1.30","1.30","1.30"
"Zhang Xuexin",1872,"male","China","1.40","3.90","3.90","3.90","3.90","3.90","3.90","3.90","4.00","7.00","6.90","6.80"
"Yubai Zhang",1873,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Fredrik Oesterberg",1874,"male","Sweden","1.60","1.70","1.70","1.60","1.50","1.50","1.40","1.50","1.40","1.30","1.30","1.10"
"Shiv Kishan Agrawal",1875,"male","India","1.40","1.70","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60"
"Aziz Akhannouch",1876,"male","Morocco","1.60","1.60","1.60","1.60","1.70","1.70","1.70","1.70","1.70","1.70","1.60","1.60"
"Hamdi Akin",1877,"male","Turkey","1.30","1.30","1.80","1.90","1.90","1.90","1.90","1.80","1.70","1.70","1.70","1.70"
"Nerio Alessandri",1878,"male","Italy","1.60","1.60","1.60","1.50","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60"
"Alexandra Andresen",1879,"female","Norway","1.50","1.50","1.60","1.50","1.60","1.60","1.50","1.60","1.60","1.60","1.50","1.50"
"Katharina Andresen",1880,"female","Norway","1.50","1.50","1.60","1.60","1.70","1.60","1.60","1.70","1.70","1.60","1.60","1.50"
"Patricia Angelini Rossi",1881,"female","Chile","1.30","1.40","1.50","1.50","1.60","1.50","1.50","1.50","1.50","1.40","1.40","1.40"
"Mori Arkin",1882,"male","Israel","1.50","1.50","1.50","1.50","1.40","1.40","1.40","1.40","1.50","1.50","1.50","1.40"
"Barbara Benetton",1883,"female","Italy","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.60","1.60","1.50","1.50","1.50"
"Angela Bennett",1884,"female","Australia","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.20"
"Zadik Bino",1885,"male","Israel","1.50","1.60","1.80","1.80","1.80","1.80","1.80","1.80","1.80","1.90","1.90","1.90"
"Paolo Bulgari",1886,"male","Italy","1.60","1.60","1.60","1.60","1.60","1.60","1.50","1.60","1.60","1.50","1.50","1.50"
"Saket Burman",1887,"male","United Arab Emirates","1.50","1.50","1.50","1.40","1.50","1.70","1.70","1.70","1.70","1.50","1.50","1.40"
"Ahmet Calik",1888,"male","Turkey","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50"
"Safra Catz",1889,"female","USA","1.80","1.70","1.80","1.70","1.90","2.00","2.00","2.00","2.10","2.10","2.20","2.10"
"Chang Kuo-Hua",1890,"male","Taiwan","1.40","2.00","2.00","2.10","2.30","2.20","2.00","2.20","2.30","2.30","2.40","2.40"
"Chu Jian",1891,"male","China",NULL,NULL,NULL,"1.00",NULL,NULL,NULL,NULL,NULL,"1.00",NULL,"1.00"
"Sandor Csanyi",1892,"male","Hungary","1.60","1.50","1.50","1.50","1.60","1.50","1.50","1.60","1.60","1.50","1.40","1.40"
"Ana Lucia de Mattos Barretto Villela",1893,"female","Brazil","2.00","1.90","1.90","1.70","1.70","1.60","1.60","1.70","1.80","1.60","1.50","1.40"
"Federico De Nora",1894,"male","Italy","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.60","1.20","1.10",NULL,NULL
"Bharat Desai",1895,"male","USA","1.50","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60"
"Mohammed Dewji",1896,"male","Tanzania","1.80","1.80","1.80","1.80","1.80","1.80","1.80","1.80","1.80","1.80","1.80","1.80"
"Egon Durban",1897,"male","USA","1.50","1.50","2.30","2.30","2.30","2.30","2.30","2.30","2.30","2.30","2.30","2.30"
"Fu Mingkang",1898,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Alan Gerry",1899,"male","USA","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50"
"Philippe Ginestet",1900,"male","France","1.50","1.50","1.70","1.70","1.70","1.70","1.70","1.80","1.80","1.70","1.70","1.70"
"G. Gnanalingam",1901,"male","Malaysia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Esther Grether",1902,"female","Switzerland","1.50","1.50","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00"
"Wei Gu",1903,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Patrick Hanrahan",1904,"male","USA","2.30","2.50","2.30","2.10","1.80","2.00","2.00","2.00","2.10","2.20","2.50","2.50"
"Kenneth Hao",1905,"male","USA","1.50","1.50","2.30","2.30","2.30","2.30","2.30","2.30","2.30","2.30","2.30","2.30"
"Jaroslav Hascak",1906,"male","Slovakia","1.60","1.60","1.80","1.80","1.80","1.80","1.80","1.80","2.10","2.00","1.90","1.90"
"He Zhenggang",1907,"male","China","1.40","1.50","1.50","1.40","1.30","1.20","1.10","1.10","1.20","1.20","1.20","1.10"
"Niranjan Hiranandani",1908,"male","India","1.50","1.50","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40"
"Ho Hung Anh",1909,"male","Vietnam","1.40","1.70","1.80","1.70","1.80","1.80","1.80","1.90","1.90","1.80","1.80","1.80"
"Archie Hwang",1910,"male","Taiwan","1.50","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60"
"Peter Jackson",1911,"male","New Zealand","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50"
"Stephen Jarislowsky",1912,"male","Canada","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.60","1.50","1.60","1.50"
"Rajeev Juneja",1913,"male","India","2.80","2.90","3.10","3.20","2.90","2.90","2.80","3.40","3.40","3.60","3.40","3.80"
"Ramesh Juneja",1914,"male","India","2.80","3.00","3.20","3.30","3.00","3.00","2.80","3.40","3.50","3.60","3.50","3.90"
"Ke Xiping",1915,"male","China","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.60","1.50","1.50","1.50"
"Kim Jun-ki",1916,"male","South Korea","1.70","1.70","1.90","1.90","2.00","2.10","2.00","2.20","2.20","2.00","2.00","1.80"
"Sidney Kimmel",1917,"male","USA","1.50","1.50","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60"
"Jim Koch",1918,"male","USA","1.60","1.50","1.40","1.40","1.50","1.40","1.40","1.40","1.40","1.40","1.50","1.40"
"Raj Kumar",1919,"male","Singapore","1.50","1.50","1.60","1.50","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.50"
"Spiro Latsis",1920,"male","Greece","1.90","2.10","2.10","2.00","2.20","2.30","2.30","2.30","2.20","2.20","2.10","2.30"
"Peter Leibinger",1921,"male","Germany","2.00","2.00","1.90","1.90","1.90","1.90","1.90","2.00","2.00","2.00","1.80","1.80"
"Regine Leibinger",1922,"female","Germany","2.00","2.00","1.90","1.90","1.90","1.90","1.90","2.00","2.00","2.00","1.80","1.80"
"Nicola Leibinger-Kammueller",1923,"female","Germany","2.00","2.00","1.90","1.90","1.90","1.90","1.90","2.00","2.00","2.00","1.80","1.80"
"Li Jianli",1924,"male","China",NULL,NULL,NULL,"1.10","1.00",NULL,NULL,NULL,"1.10","1.10","1.20","1.10"
"Li Jiaquan",1925,"male","China","1.50","1.60","1.40","1.40","1.40","1.40","1.40","1.40","1.50","1.40","1.40","1.40"
"Li Rucheng",1926,"male","China","1.60","1.80","1.70","1.90","1.90","1.70","1.70","1.80","2.00","1.80","1.90","2.10"
"Li Shui-po",1927,"male","Taiwan",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Scott Lin",1928,"male","Taiwan","1.40","1.80","1.70","1.50","1.60","1.80","1.80","2.10","1.80","1.60","1.60","1.80"
"Liu Xiucai",1929,"male","China","1.00","1.10","1.00","1.20","1.10","1.10",NULL,NULL,NULL,"1.10","1.00",NULL
"Lu Zhongfang",1930,"female","China",NULL,"1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.10","1.00","1.00","1.00"
"Lu Zongjun",1931,"male","China","1.00","1.10","1.20","1.20","1.30","1.20","1.20","1.20","1.30","1.20","1.20","1.30"
"Youssef Mansour",1932,"male","Egypt","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30","1.30"
"Bruce Mathieson",1933,"male","Australia","1.40","1.30","1.30","1.30","1.20","1.30","1.30","1.30","1.30","1.20","1.10","1.10"
"Romano Minozzi",1934,"male","Italy","1.50","1.50","1.50","1.40","1.50","1.40","1.50","1.50","1.60","1.50","1.50","1.40"
"Greg Mondre",1935,"male","USA","1.50","1.50","2.30","2.30","2.30","2.30","2.30","2.30","2.30","2.30","2.30","2.30"
"Mario Moretti Polegato",1936,"male","Italy","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.40","1.30","1.30"
"Robert Mouawad",1937,"male","Bahrain","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50"
"Jerry Moyes",1938,"male","USA","1.50","1.50","1.80","1.70","1.70","1.70","1.80","1.80","1.80","1.80","1.80","1.80"
"John Ocampo",1939,"male","USA","1.70",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Stefan Olsson",1940,"male","UK","1.90","2.00","1.80","1.70","1.80","1.80","1.70","1.90","1.90","1.80","1.90","1.90"
"Rubens Ometto Silveira Mello",1941,"male","Brazil","2.10","2.00","1.90","1.60","1.50","1.40","1.40","1.40","1.40","1.20","1.10",NULL
"Anne Marie See Pastor",1942,"female","Peru","1.50","1.70",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"George Pastor",1943,"male","Peru","1.50","1.70",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Nelson Peltz",1944,"male","USA","1.50","1.50","1.70","1.70","1.70","1.60","1.60","1.60","1.70","1.70","1.70","1.60"
"David Penaloza Alanis",1945,"male","Mexico","1.60","1.70","1.70","1.70","1.80","1.50","1.50","1.50","1.60","1.40","1.60","1.40"
"Karl-Johan Persson",1946,"male","Sweden","1.60","1.60","1.90","1.90","2.00","1.80","1.80","1.80","2.00","1.00","1.60","1.60"
"Lu Yonghua",2565,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Mike Repole",1947,"male","USA","1.50","1.50","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60"
"Duke Reyes",1948,"male","USA","1.90","1.90","1.90","1.90","1.90","1.90","1.90","1.90","2.40","2.40","2.40","2.40"
"Kishin RK",1949,"male","Singapore","1.50","1.50","1.60","1.50","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.50"
"Carlos Rodriguez-Pastor",1950,"male","Peru","1.50","1.70",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Christopher Rokos",1951,"male","UK","1.50","1.50","2.30","2.30","2.30","2.30","2.30","2.30","2.30","2.30","2.30","2.30"
"John Ruiz",1952,"male","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Sheryl Sandberg",1953,"female","USA","2.00","2.00","2.20","2.10","2.10","2.10","2.10","2.20","2.20","2.20","2.20","2.30"
"Amnon Shashua",1954,"male","Israel","1.50","1.50","1.80","1.80","1.80","1.80","1.80","1.80","1.80","1.80","1.80","1.80"
"Ben Silbermann",1955,"male","USA","2.20","2.10","2.00","1.90","2.30","2.40","1.80","1.80","1.80","1.80","1.70","1.70"
"Ron Sim",1956,"male","Singapore","1.60","1.60","1.50","1.50","1.50","1.50","1.50","1.60","1.70","1.60","1.60","1.60"
"Leonid Simanovsky",1957,"male","Russia","1.70","1.70","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60","1.60"
"Basudeo Singh",1958,"male","India","2.30","2.40","2.30","2.20","2.20","2.30","2.40","2.80","2.80","2.60","2.60","2.50"
"Frank Slootman",1959,"male","USA","3.50","3.10","3.00","2.90","2.60","2.60","2.60","2.40","2.30","2.30","3.00","2.80"
"Terry Snow",1960,"male","Australia","1.70","1.70","1.70","1.70","1.80","1.80","1.70","1.80","1.80","1.80","1.70","1.70"
"Axel Stawski",1961,"male","USA","1.50",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Thomas Steyer",1962,"male","USA","2.10","2.10","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00"
"Sergei Studennikov",1963,"male","Russia","3.10","3.10","3.20","3.20","3.20","3.20","3.20","3.40","3.20","3.20","3.20","3.20"
"Su Suyu",1964,"female","China","1.30","1.50","1.40","1.40","1.40","1.30","1.30","1.30","1.50","1.40","1.50","1.40"
"Kevin Systrom",1965,"male","USA","2.70","2.80","2.70","2.50","2.70","2.80","2.70","2.80","3.00","3.00","3.00","3.10"
"Tan Lili",1966,"female","China",NULL,"1.00","1.00","1.20","1.20","1.10","1.00",NULL,"1.20","1.10","1.10","1.10"
"Tang Binsen",1967,"male","China","1.50",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Tang Rui",1968,"male","China","1.50","1.50",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Prachak Tangkaravakoon",1969,"male","Thailand","1.10",NULL,"1.00","1.20","1.10",NULL,NULL,"1.00","1.10","1.00",NULL,NULL
"Jeff Tangney",1970,"male","USA","1.40","1.50","1.50","1.30","1.50","1.50","1.50","2.00","2.40","2.00","2.90","2.90"
"Yuequn Tao",1971,"male","China",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"David Teoh",1972,"male","Australia","1.40","1.60","1.70","1.70","1.70","1.80","1.80","1.90","2.00","1.80","1.80","1.90"
"Carmen Thyssen",1973,"male","Spain","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50","1.50"
"Tran Ba Duong",1974,"male","Vietnam","1.50","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20","1.20"
"Kenny Troutt",1975,"male","USA","1.50","1.50","1.70","1.70","1.70","1.70","1.70","1.70","1.70","1.70","1.70","1.70"
"Jens von Bahr",1976,"male","Sweden","1.50","1.60","1.60","1.50","1.40","1.40","1.30","1.40","1.30","1.30","1.20","1.10"
"Wang Junmin",1977,"male","China","1.30","1.60","1.70","1.80","1.80","1.80","1.70","1.90","2.30","2.10","2.30","2.00"
"Weng Xianding",1978,"male","China","1.90","2.20","1.80","1.90","2.00","1.80","1.70","1.80","2.30","1.90","1.70","1.90"
"Farris Wilks",1979,"male","USA","1.40","1.40","2.00","1.90","2.10","1.90","2.00","1.90","1.90","1.80","2.10","2.00"
